match_id,stage,group,matchday,datetime,home_team,away_team,home_score,away_score,real_scorers
1,Group Stage,A,1,2026-06-11 21:00,Mexico,South Africa,2,3,Marquez
2,Group Stage,A,1,2026-06-12 04:00,South Korea,Czechia,,,
3,Group Stage,B,1,2026-06-12 21:00,Canada,Bosnia and Herzegovina,,,
4,Group Stage,D,1,2026-06-13 03:00,USA,Paraguay,,,
5,Group Stage,B,1,2026-06-13 21:00,Qatar,Switzerland,,,
6,Group Stage,C,1,2026-06-14 00:00,Brazil,Morocco,,,
7,Group Stage,C,1,2026-06-14 03:00,Haiti,Scotland,,,
8,Group Stage,D,1,2026-06-14 06:00,Australia,Türkiye,,,
9,Group Stage,E,1,2026-06-14 19:00,Germany,Curaçao,,,
10,Group Stage,F,1,2026-06-14 22:00,Netherlands,Japan,,,
11,Group Stage,E,1,2026-06-15 01:00,Côte d'Ivoire,Ecuador,,,
12,Group Stage,F,1,2026-06-15 04:00,Sweden,Tunisia,,,
13,Group Stage,H,1,2026-06-15 18:00,Spain,Cabo Verde,,,
14,Group Stage,G,1,2026-06-15 21:00,Belgium,Egypt,,,
15,Group Stage,H,1,2026-06-16 00:00,Saudi Arabia,Uruguay,,,
16,Group Stage,G,1,2026-06-16 03:00,Iran,New Zealand,,,
17,Group Stage,I,1,2026-06-16 21:00,France,Senegal,,,
18,Group Stage,I,1,2026-06-17 00:00,Iraq,Norway,,,
19,Group Stage,J,1,2026-06-17 03:00,Argentina,Algeria,,,
20,Group Stage,J,1,2026-06-17 06:00,Austria,Jordan,,,
21,Group Stage,K,1,2026-06-17 19:00,Portugal,Congo,,,
22,Group Stage,L,1,2026-06-17 22:00,England,Croatia,,,
23,Group Stage,L,1,2026-06-18 01:00,Ghana,Panama,,,
24,Group Stage,K,1,2026-06-18 04:00,Uzbekistan,Colombia,,,
25,Group Stage,A,2,2026-06-18 18:00,Czechia,South Africa,,,
26,Group Stage,B,2,2026-06-18 21:00,Switzerland,Bosnia and Herzegovina,,,
27,Group Stage,B,2,2026-06-19 00:00,Canada,Qatar,,,
28,Group Stage,A,2,2026-06-19 03:00,Mexico,South Korea,,,
29,Group Stage,D,2,2026-06-19 21:00,USA,Australia,,,
30,Group Stage,C,2,2026-06-20 00:00,Scotland,Morocco,,,
31,Group Stage,C,2,2026-06-20 02:30,Brazil,Haiti,,,
32,Group Stage,D,2,2026-06-20 05:00,Türkiye,Paraguay,,,
33,Group Stage,F,2,2026-06-20 19:00,Netherlands,Sweden,,,
34,Group Stage,E,2,2026-06-20 22:00,Germany,Côte d'Ivoire,,,
35,Group Stage,E,2,2026-06-21 02:00,Ecuador,Curaçao,,,
36,Group Stage,F,2,2026-06-21 06:00,Tunisia,Japan,,,
37,Group Stage,H,2,2026-06-21 18:00,Spain,Saudi Arabia,,,
38,Group Stage,G,2,2026-06-21 21:00,Belgium,Iran,,,
39,Group Stage,H,2,2026-06-22 00:00,Uruguay,Cabo Verde,,,
40,Group Stage,G,2,2026-06-22 03:00,New Zealand,Egypt,,,
41,Group Stage,J,2,2026-06-22 19:00,Argentina,Austria,,,
42,Group Stage,I,2,2026-06-22 23:00,France,Iraq,,,
43,Group Stage,I,2,2026-06-23 02:00,Norway,Senegal,,,
44,Group Stage,J,2,2026-06-23 05:00,Jordan,Algeria,,,
45,Group Stage,K,2,2026-06-23 19:00,Portugal,Uzbekistan,,,
46,Group Stage,L,2,2026-06-23 22:00,England,Ghana,,,
47,Group Stage,L,2,2026-06-24 01:00,Panama,Croatia,,,
48,Group Stage,K,2,2026-06-24 04:00,Colombia,Congo,,,
49,Group Stage,B,3,2026-06-24 21:00,Bosnia and Herzegovina,Qatar,,,
50,Group Stage,B,3,2026-06-24 21:00,Switzerland,Canada,,,
51,Group Stage,C,3,2026-06-25 00:00,Morocco,Haiti,,,
52,Group Stage,C,3,2026-06-25 00:00,Scotland,Brazil,,,
53,Group Stage,A,3,2026-06-25 03:00,Czechia,Mexico,,,
54,Group Stage,A,3,2026-06-25 03:00,South Africa,South Korea,,,
55,Group Stage,E,3,2026-06-25 22:00,Curaçao,Côte d'Ivoire,,,
56,Group Stage,E,3,2026-06-25 22:00,Ecuador,Germany,,,
57,Group Stage,F,3,2026-06-26 01:00,Japan,Sweden,,,
58,Group Stage,F,3,2026-06-26 01:00,Tunisia,Netherlands,,,
59,Group Stage,D,3,2026-06-26 04:00,Paraguay,Australia,,,
60,Group Stage,D,3,2026-06-26 04:00,Türkiye,USA,,,
61,Group Stage,I,3,2026-06-26 21:00,Norway,France,,,
62,Group Stage,I,3,2026-06-26 21:00,Senegal,Iraq,,,
63,Group Stage,H,3,2026-06-27 02:00,Cabo Verde,Saudi Arabia,,,
64,Group Stage,H,3,2026-06-27 02:00,Uruguay,Spain,,,
65,Group Stage,G,3,2026-06-27 05:00,Egypt,Iran,,,
66,Group Stage,G,3,2026-06-27 05:00,New Zealand,Belgium,,,
67,Group Stage,L,3,2026-06-27 23:00,Croatia,Ghana,,,
68,Group Stage,L,3,2026-06-27 23:00,Panama,England,,,
69,Group Stage,K,3,2026-06-28 01:30,Colombia,Portugal,,,
70,Group Stage,K,3,2026-06-28 01:30,Congo,Uzbekistan,,,
71,Group Stage,J,3,2026-06-28 04:00,Algeria,Austria,,,
72,Group Stage,J,3,2026-06-28 04:00,Jordan,Argentina,,,
