match_id,stato_avanzamento_torneo,group,match_day,datetime,home_team,away_team,home_score,away_score,real_scorers,lock_timestamp,real_autogol_squadra_1,real_autogol_squadra_2
1,Group Stage,A,1,2026-06-11 21:00,Mexico,South Africa,2,0,JIMENEZ Raul;QUINONES Julian,2026-06-11 21:00:00,False,False
2,Group Stage,A,1,2026-06-12 04:00,South Korea,Czechia,2,1,KREJCI Ladislav;HWANG Inbeom;OH Hyeongyu,2026-06-11 21:00:00,False,False
3,Group Stage,B,1,2026-06-12 21:00,Canada,Bosnia and Herzegovina,1,1,LARIN Cyle;LUKIC Jovo,2026-06-11 21:00:00,False,False
4,Group Stage,D,1,2026-06-13 03:00,USA,Paraguay,4,1,BALOGUN Folarin;REYNA Giovanni;MAURICIO,2026-06-11 21:00:00,False,True
5,Group Stage,B,1,2026-06-13 21:00,Qatar,Switzerland,1,1,BOUALEM KHOUKHI;EMBOLO Breel,2026-06-11 21:00:00,False,False
6,Group Stage,C,1,2026-06-14 00:00,Brazil,Morocco,1,1,VINICIUS JUNIOR;SAIBARI Ismael,2026-06-11 21:00:00,False,False
7,Group Stage,C,1,2026-06-14 03:00,Haiti,Scotland,0,1,McGINN John,2026-06-11 21:00:00,False,False
8,Group Stage,D,1,2026-06-14 06:00,Australia,Türkiye,2,0,IRANKUNDA Nestory;METCALFE Connor,2026-06-11 21:00:00,False,False
9,Group Stage,E,1,2026-06-14 19:00,Germany,Curaçao,7,1,BROWN Nathaniel;HAVERTZ Kai;MUSIALA Jamal;NMECHA Felix;SCHLOTTERBECK Nico;UNDAV Deniz;COMENENCIA Livano,2026-06-11 21:00:00,False,False
10,Group Stage,F,1,2026-06-14 22:00,Netherlands,Japan,2,2,SUMMERVILLE Crysencio;VAN DIJK Virgil;KAMADA Daichi;NAKAMURA Keito,2026-06-11 21:00:00,False,False
11,Group Stage,E,1,2026-06-15 01:00,Côte d'Ivoire,Ecuador,1,0,DIALLO Amad,2026-06-11 21:00:00,False,False
12,Group Stage,F,1,2026-06-15 04:00,Sweden,Tunisia,5,1,AYARI Yasin;GYOKERES Viktor;ISAK Alexander;SVANBERG Mattias;REKIK Omar,2026-06-11 21:00:00,False,False
13,Group Stage,H,1,2026-06-15 18:00,Spain,Cabo Verde,0,0,,2026-06-11 21:00:00,False,False
14,Group Stage,G,1,2026-06-15 21:00,Belgium,Egypt,1,1,EMAM ASHOUR,2026-06-11 21:00:00,False,True
15,Group Stage,H,1,2026-06-16 00:00,Saudi Arabia,Uruguay,1,1,ABDULELAH ALAMRI;ARAUJO Maxi,2026-06-11 21:00:00,False,False
16,Group Stage,G,1,2026-06-16 03:00,Iran,New Zealand,2,2,MOHEBBI Mohammad;REZAEIAN Ramin;JUST Elijah,2026-06-11 21:00:00,False,False
